id,nombre,sha_1,sha_2,sha_3,sha_4,sha_5,sha_6,sha_7,sha_8,sha_9,sha_10,sha_11,sha_12,dec_1,dec_2,dec_3,dec_4,dec_5,dec_6,dec_7,dec_8,dec_9,dec_10,dec_11,dec_12
88,Altair,61.992,61.990,61.988,61.985,61.980,61.977,61.973,61.973,61.973,61.975,61.977,61.978,8.937,8.935,8.935,8.935,8.935,8.937,8.940,8.940,8.942,8.942,8.942,8.942
89,Sadr,54.217,54.215,54.213,54.210,54.207,54.202,54.198,54.197,54.197,54.200,54.202,54.205,40.342,40.342,40.340,40.337,40.337,40.340,40.345,40.347,40.347,40.347,40.347,40.347
90,Peacock,53.083,53.082,53.078,53.073,53.067,53.060,53.055,53.052,53.052,53.053,53.058,53.060,-56.653,-56.652,-56.648,-56.647,-56.647,-56.645,-56.647,-56.648,-56.650,-56.650,-56.652,-56.650
91,Deneb,49.428,49.428,49.427,49.422,49.418,49.413,49.410,49.407,49.408,49.410,49.413,49.417,45.375,45.372,45.370,45.368,45.368,45.370,45.373,45.377,45.378,45.380,45.382,45.382
92,Alderamin,40.213,40.215,40.213,40.208,40.203,40.197,40.190,40.188,40.188,40.192,40.197,40.202,62.698,62.697,62.697,62.692,62.692,62.692,62.695,62.698,62.702,62.703,62.705,62.705
93,Enif,33.637,33.637,33.637,33.633,33.630,33.627,33.623,33.620,33.618,33.620,33.622,33.622,9.995,9.993,9.993,9.993,9.995,9.997,9.997,9.998,10.000,10.002,10.002,10.002
94,Deneb Algedi,32.883,32.883,32.883,32.880,32.877,32.872,32.868,32.865,32.865,32.865,32.867,32.868,-16.010,-16.010,-16.008,-16.008,-16.007,-16.007,-16.005,-16.003,-16.003,-16.003,-16.005,-16.005
95,Al Na'ir,27.537,27.537,27.535,27.533,27.528,27.523,27.518,27.513,27.512,27.513,27.515,27.517,-46.838,-46.837,-46.835,-46.832,-46.830,-46.828,-46.828,-46.828,-46.830,-46.832,-46.833,-46.833
96,b-Gruis,18.948,18.948,18.948,18.947,18.943,18.938,18.932,18.928,18.925,18.925,18.927,18.930,-46.752,-46.750,-46.748,-46.747,-46.743,-46.742,-46.742,-46.742,-46.743,-46.745,-46.745,-46.747
97,Fomalhaut,15.230,15.230,15.230,15.228,15.225,15.222,15.217,15.213,15.210,15.210,15.212,15.213,-29.487,-29.487,-29.485,-29.483,-29.482,-29.480,-29.478,-29.478,-29.478,-29.478,-29.480,-29.480
98,Scheat,13.743,13.743,13.743,13.743,13.740,13.735,13.732,13.727,13.725,13.725,13.725,13.727,28.227,28.225,28.223,28.223,28.223,28.225,28.228,28.230,28.232,28.233,28.233,28.233
99,Markab,13.487,13.488,13.488,13.487,13.483,13.480,13.475,13.472,13.470,13.470,13.470,13.472,15.347,15.345,15.345,15.345,15.345,15.347,15.350,15.352,15.353,15.353,15.353,15.353
100, Venus
101, Marte
102, Jupiter
103, Saturno
